Aberrant Spectre
	Adamant platelegs[1 in 110]
	Avantoe seed[1 in 62]
	Belladonna seed[1 in 44]
	Cactus seed[1 in 66]
	Cadantine seed[1 in 196]
	Chaos talisman[1 in 938]
	Clue scroll (hard)[1 in 128]
	Coins[1 in 0]
	Dragon spear[1 in 7070]
	Dwarf weed seed[1 in 454]
	Grimy avantoe[1 in 18]
	Grimy cadantine[1 in 26]
	Grimy dwarf weed[1 in 34]
	Grimy guam leaf[1 in 4]
	Grimy harralander[1 in 8]
	Grimy irit leaf[1 in 14]
	Grimy kwuarm[1 in 20]
	Grimy lantadyme[1 in 34]
	Grimy marrentill[1 in 4]
	Grimy ranarr weed[1 in 10]
	Grimy tarromin[1 in 6]
	Irit seed[1 in 42]
	Kwuarm seed[1 in 92]
	Lantadyme seed[1 in 274]
	Lava battlestaff[1 in 110]
	Loop half of key[1 in 1446]
	Mithril kiteshield[1 in 110]
	Mystic robe bottom (dark)[1 in 510]
	Nature talisman[1 in 962]
	Poison ivy seed[1 in 62]
	Potato cactus seed[1 in 92]
	Rune full helm[1 in 110]
	Rune javelin[1 in 288]
	Rune spear[1 in 2714]
	Shield left half[1 in 5468]
	Snapdragon seed[1 in 138]
	Snape grass seed[1 in 114]
	Steel axe[1 in 36]
	Toadflax seed[1 in 30]
	Tooth half of key[1 in 1442]
	Torstol seed[1 in 686]
	Uncut diamond[1 in 710]
	Uncut emerald[1 in 90]
	Uncut ruby[1 in 180]
	Uncut sapphire[1 in 44]
Abhorrent spectre
	Adamant platelegs[1 in 36]
	Avantoe seed[1 in 20]
	Belladonna seed[1 in 14]
	Cactus seed[1 in 22]
	Cadantine seed[1 in 66]
	Chaos talisman[1 in 318]
	Clue scroll (hard)[1 in 14]
	Coins[1 in 0]
	Dragon spear[1 in 2364]
	Dust battlestaff[1 in 216]
	Dwarf weed seed[1 in 152]
	Eternal gem[1 in 754]
	Grimy avantoe[1 in 6]
	Grimy cadantine[1 in 8]
	Grimy dwarf weed[1 in 12]
	Grimy guam leaf[1 in 2]
	Grimy harralander[1 in 2]
	Grimy irit leaf[1 in 4]
	Grimy kwuarm[1 in 6]
	Grimy lantadyme[1 in 12]
	Grimy marrentill[1 in 2]
	Grimy ranarr weed[1 in 4]
	Grimy tarromin[1 in 2]
